libngtcp2-crypto-gnutls8	1.11.0-1+deb13u1	/usr/share/doc/libngtcp2-crypto-gnutls8/copyright
libp11-kit0	0.25.5-3	/usr/share/doc/libp11-kit0/copyright
libpam-modules	1.7.0-5	/usr/share/doc/libpam-modules/copyright
libpam-modules-bin	1.7.0-5	/usr/share/doc/libpam-modules-bin/copyright
libpam-runtime	1.7.0-5	/usr/share/doc/libpam-runtime/copyright
libpam0g	1.7.0-5	/usr/share/doc/libpam0g/copyright
libpcre2-8-0	10.46-1~deb13u1	/usr/share/doc/libpcre2-8-0/copyright
libperl5.40	5.40.1-6	/usr/share/doc/libperl5.40/copyright
libpsl5t64	0.21.2-1.1+b1	/usr/share/doc/libpsl5t64/copyright
libpython3-stdlib	3.13.5-1	/usr/share/doc/libpython3-stdlib/copyright
libpython3.13-minimal	3.13.5-2+deb13u3	/usr/share/doc/libpython3.13-minimal/copyright
libpython3.13-stdlib	3.13.5-2+deb13u3	/usr/share/doc/libpython3.13-stdlib/copyright
libreadline8t64	8.2-6	/usr/share/doc/libreadline8t64/copyright
librtmp1	2.4+20151223.gitfa8646d.1-2+b5	/usr/share/doc/librtmp1/copyright
libsasl2-2	2.1.28+dfsg1-9	/usr/share/doc/libsasl2-2/copyright
libsasl2-modules-db	2.1.28+dfsg1-9	/usr/share/doc/libsasl2-modules-db/copyright
libseccomp2	2.6.0-2	/usr/share/doc/libseccomp2/copyright
libselinux1	3.8.1-1	/usr/share/doc/libselinux1/copyright
libsemanage-common	3.8.1-1	/usr/share/doc/libsemanage-common/copyright
libsemanage2	3.8.1-1	/usr/share/doc/libsemanage2/copyright
libsepol2	3.8.1-1	/usr/share/doc/libsepol2/copyright
libsigsegv2	2.14-1+b2	/usr/share/doc/libsigsegv2/copyright
libsmartcols1	2.41.5-0+deb13u1	/usr/share/doc/libsmartcols1/copyright
libsqlite3-0	3.46.1-7+deb13u1	/usr/share/doc/libsqlite3-0/copyright
libssh2-1t64	1.11.1-1+deb13u1	/usr/share/doc/libssh2-1t64/copyright
libssl3t64	3.5.6-1~deb13u2	/usr/share/doc/libssl3t64/copyright
libstdc++6	14.2.0-19	/usr/share/doc/libstdc++6/copyright
libsystemd0	257.13-1~deb13u1	/usr/share/doc/libsystemd0/copyright
libtasn1-6	4.20.0-2+deb13u1	/usr/share/doc/libtasn1-6/copyright
libtinfo6	6.5+20250216-2	/usr/share/doc/libtinfo6/copyright
libudev1	257.13-1~deb13u1	/usr/share/doc/libudev1/copyright
libunistring5	1.3-2	/usr/share/doc/libunistring5/copyright
libuuid1	2.41.5-0+deb13u1	/usr/share/doc/libuuid1/copyright
libxxhash0	0.8.3-2	/usr/share/doc/libxxhash0/copyright
libzstd1	1.5.7+dfsg-1	/usr/share/doc/libzstd1/copyright
login	1:4.16.0-2+really2.41.5-0+deb13u1	/usr/share/doc/login/copyright
login.defs	1:4.17.4-2	/usr/share/doc/login.defs/copyright
mawk	1.3.4.20250131-1	/usr/share/doc/mawk/copyright
media-types	13.0.0	/usr/share/doc/media-types/copyright
mount	2.41.5-0+deb13u1	/usr/share/doc/mount/copyright
ncurses-base	6.5+20250216-2	/usr/share/doc/ncurses-base/copyright
ncurses-bin	6.5+20250216-2	/usr/share/doc/ncurses-bin/copyright
netbase	6.5	/usr/share/doc/netbase/copyright
openssl	3.5.6-1~deb13u2	/usr/share/doc/openssl/copyright
openssl-provider-legacy	3.5.6-1~deb13u2	/usr/share/doc/openssl-provider-legacy/copyright
passwd	1:4.17.4-2	/usr/share/doc/passwd/copyright
perl	5.40.1-6	/usr/share/doc/perl/copyright
perl-base	5.40.1-6	/usr/share/doc/perl-base/copyright
perl-modules-5.40	5.40.1-6	/usr/share/doc/perl-modules-5.40/copyright
python3	3.13.5-1	/usr/share/doc/python3/copyright
python3-minimal	3.13.5-1	/usr/share/doc/python3-minimal/copyright
python3-packaging	25.0-1	/usr/share/doc/python3-packaging/copyright
python3-pip	25.1.1+dfsg-1	/usr/share/doc/python3-pip/copyright
python3-pip-whl	25.1.1+dfsg-1	/usr/share/doc/python3-pip-whl/copyright
python3-setuptools-whl	78.1.1-0.1	/usr/share/doc/python3-setuptools-whl/copyright
python3-venv	3.13.5-1	/usr/share/doc/python3-venv/copyright
python3-wheel	0.46.1-2	/usr/share/doc/python3-wheel/copyright
python3.13	3.13.5-2+deb13u3	/usr/share/doc/python3.13/copyright
python3.13-minimal	3.13.5-2+deb13u3	/usr/share/doc/python3.13-minimal/copyright
python3.13-venv	3.13.5-2+deb13u3	/usr/share/doc/python3.13-venv/copyright
readline-common	8.2-6	/usr/share/doc/readline-common/copyright
sed	4.9-2+deb13u1	/usr/share/doc/sed/copyright
sqv	1.3.0-3+b2	/usr/share/doc/sqv/copyright
sysvinit-utils	3.14-4	/usr/share/doc/sysvinit-utils/copyright
tar	1.35+dfsg-3.1	/usr/share/doc/tar/copyright
tzdata	2026b-0+deb13u1	/usr/share/doc/tzdata/copyright
util-linux	2.41.5-0+deb13u1	/usr/share/doc/util-linux/copyright
xz-utils	5.8.1-1+deb13u1	/usr/share/doc/xz-utils/copyright
zlib1g	1:1.3.dfsg+really1.3.1-1+b1	/usr/share/doc/zlib1g/copyright
